Reynolds,Capillary,Bingham,Weissenberg,beta,regularization,domain-size,tolerance,dt,mesh_level
0.05,0.3,0,0,0.5,0.001,16,0.0001,0.01,8
0.05,0.3,0.3,0,0.5,0.001,16,0.0001,0.01,8
0.05,0.3,0.8,0,0.5,0.001,16,0.0001,0.01,8
0.05,0.3,1.6,0,0.5,0.001,16,0.0001,0.01,8
0.05,0.3,8,0,0.5,0.001,16,0.0001,0.01,8
0.05,0.3,80,0,0.5,0.001,16,0.0001,0.01,8
0.05,0.3,0,0.01,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0.3,0.01,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0.8,0.01,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,1.6,0.01,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,8,0.01,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,80,0.01,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0,0.125,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0.3,0.125,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0.8,0.125,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,1.6,0.125,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,8,0.125,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,80,0.125,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0,0.25,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0.3,0.25,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0.8,0.25,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,1.6,0.25,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,8,0.25,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,80,0.25,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0,0.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0.3,0.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0.8,0.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,1.6,0.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,8,0.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,80,0.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0,1,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0.3,1,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0.8,1,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,1.6,1,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,8,1,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,80,1,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0,1.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0.3,1.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0.8,1.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,1.6,1.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,8,1.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,80,1.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0,2.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0.3,2.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,0.8,2.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,1.6,2.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,8,2.5,0.5,1.00E-07,16,0.0001,0.01,8
0.05,0.3,80,2.5,0.5,1.00E-07,16,0.0001,0.01,8
