Reynolds,Capillary,Bingham,Weissenberg,beta,regularization,domain-size,tolerance,dt,mesh_level
0.01,0.01,0,0,1,0.001,16,0.0001,0.01,8
0.01,0.05,0,0,1,0.001,16,0.0001,0.01,8
0.01,0.1,0,0,1,0.001,16,0.0001,0.01,8
0.01,0.2,0,0,1,0.001,16,0.0001,0.01,8
0.01,0.5,0,0,1,0.001,16,0.0001,0.01,8
0.01,1,0,0,1,0.001,16,0.0001,0.01,8
0.01,0.01,0,0,1,0.001,16,0.0001,0.01,9
0.01,0.05,0,0,1,0.001,16,0.0001,0.01,9
0.01,0.1,0,0,1,0.001,16,0.0001,0.01,9
0.01,0.2,0,0,1,0.001,16,0.0001,0.01,9
0.01,0.5,0,0,1,0.001,16,0.0001,0.01,9
0.01,1,0,0,1,0.001,16,0.0001,0.01,9
